ReadID,PartialType
468_Z2SFTS_1,partial_P7
469_Z2SFTS_1,partial_P5
470_Z2SFTS_1,partial_P5
472_Z2SFTS_1,partial_P5
474_Z2SFTS_1,partial_P7
475_Z2SFTS_1,partial_P7
476_Z2SFTS_1,partial_P5
477_Z2SFTS_1,partial_P5
479_Z2SFTS_1,partial_P5
480_Z2SFTS_1,partial_P5
481_Z2SFTS_1,partial_P5
482_Z2SFTS_1,partial_P7
483_Z2SFTS_1,partial_P5
484_Z2SFTS_1,partial_P7
485_Z2SFTS_1,partial_P5
486_Z2SFTS_1,partial_P5
487_Z2SFTS_1,partial_P7
488_Z2SFTS_1,partial_P5
489_Z2SFTS_1,partial_P5
490_Z2SFTS_1,partial_P5
491_Z2SFTS_1,partial_P5
492_Z2SFTS_1,partial_P5
493_Z2SFTS_1,partial_P5
494_Z2SFTS_1,partial_P5
496_Z2SFTS_1,partial_P7
497_Z2SFTS_1,partial_P5
499_Z2SFTS_1,partial_P5
500_Z2SFTS_1,partial_P5
501_Z2SFTS_1,partial_P5
502_Z2SFTS_1,partial_P5
503_Z2SFTS_1,partial_P5
504_Z2SFTS_1,partial_P7
506_Z2SFTS_1,partial_P5
507_Z2SFTS_1,partial_P5
508_Z2SFTS_1,partial_P5
509_Z2SFTS_1,partial_P5
510_Z2SFTS_1,partial_P5
511_Z2SFTS_1,partial_P5
512_Z2SFTS_1,partial_P5
513_Z2SFTS_1,partial_P5
514_Z2SFTS_1,partial_P5
515_Z2SFTS_1,partial_P5
516_Z2SFTS_1,partial_P5
517_Z2SFTS_1,partial_P5
518_Z2SFTS_1,partial_P7
520_Z2SFTS_1,partial_P7
521_Z2SFTS_1,partial_P5
522_Z2SFTS_1,partial_P7
523_Z2SFTS_1,partial_P5
524_Z2SFTS_1,partial_P5
525_Z2SFTS_1,partial_P7
526_Z2SFTS_1,partial_P5
527_Z2SFTS_1,partial_P5
528_Z2SFTS_1,partial_P5
529_Z2SFTS_1,partial_P5
530_Z2SFTS_1,partial_P5
531_Z2SFTS_1,partial_P7
533_Z2SFTS_1,partial_P5
534_Z2SFTS_1,partial_P7
535_Z2SFTS_1,partial_P5
536_Z2SFTS_1,partial_P5
537_Z2SFTS_1,partial_P5
538_Z2SFTS_1,partial_P7
539_Z2SFTS_1,partial_P5
540_Z2SFTS_1,partial_P5
541_Z2SFTS_1,partial_P5
542_Z2SFTS_1,partial_P5
544_Z2SFTS_1,partial_P5
545_Z2SFTS_1,partial_P5
546_Z2SFTS_1,partial_P5
547_Z2SFTS_1,partial_P5
548_Z2SFTS_1,partial_P5
549_Z2SFTS_1,partial_P5
550_Z2SFTS_1,partial_P5
551_Z2SFTS_1,partial_P5
552_Z2SFTS_1,partial_P5
553_Z2SFTS_1,partial_P5
554_Z2SFTS_1,partial_P7
555_Z2SFTS_1,partial_P5
556_Z2SFTS_1,partial_P5
